transaction_id,account_id,branch_id,customer_id,transactiontype,transactiondate,amount
1,679,10,195,Payment,2025-04-22,13460.47
2,1986,19,634,Withdrawal,2025-05-23,16091.74
3,1493,15,555,Transfer,2024-09-30,69225.55
4,1499,16,122,Deposit,2024-10-24,7831.74
5,1129,4,924,Transfer,2025-05-22,3454.76
6,1265,8,962,Payment,2025-04-07,5489.42
7,669,2,704,Withdrawal,2025-10-17,11876.91
8,455,9,291,Withdrawal,2025-11-11,939.7
9,1103,15,494,Deposit,2025-05-02,48816.14
10,808,7,83,Payment,2026-01-30,4902.82
11,1240,17,870,Deposit,2025-11-08,45513.9
12,740,13,529,Withdrawal,2024-12-05,14461.29
13,876,12,934,Payment,2025-11-30,5717.9
14,583,12,255,Transfer,2025-05-07,31500.45
15,913,18,373,Deposit,2024-09-18,11569.06
16,1819,15,273,Payment,2024-05-13,12094.55
17,592,6,601,Payment,2024-06-22,10983.36
18,849,5,852,Deposit,2024-03-04,8038.32
19,622,16,817,Transfer,2024-08-08,7545.46
20,1967,19,980,Payment,2025-03-02,1509.03
21,839,9,127,Payment,2024-07-21,2788.42
22,947,19,982,Withdrawal,2025-03-23,4385.52
23,1705,13,597,Transfer,2025-07-13,55832.83
24,87,10,739,Transfer,2024-06-23,49915.95
25,1516,15,974,Withdrawal,2025-01-23,1023.38
26,6,5,206,Transfer,2024-04-25,30716.77
27,1312,16,51,Deposit,2025-10-04,33036.84
28,1829,10,982,Payment,2024-02-26,2854.71
29,1858,8,824,Deposit,2024-03-18,6848.38
30,568,16,64,Deposit,2024-09-16,30345.67
31,741,19,528,Payment,2024-12-28,8570.5
32,1779,9,653,Payment,2024-03-01,14619.03
33,1676,4,106,Transfer,2024-09-26,51740.06
34,1179,1,93,Transfer,2024-11-18,17121.88
35,120,5,927,Transfer,2025-04-13,46643.35
36,1420,5,591,Transfer,2025-01-17,17167.58
37,559,12,211,Payment,2025-07-17,9616.46
38,1957,12,434,Deposit,2026-01-09,15202.95
39,1085,3,685,Withdrawal,2024-09-28,15445.63
40,376,4,46,Withdrawal,2024-10-26,11102.39
41,1787,11,185,Transfer,2025-04-11,27874.44
42,1430,12,690,Deposit,2025-07-18,27186.6
43,721,5,577,Deposit,2024-02-26,7710.52
44,577,12,367,Payment,2024-04-01,6297.52
45,1887,6,992,Deposit,2024-11-27,11675.93
46,1031,8,765,Withdrawal,2025-01-29,16004.58
47,1145,20,437,Deposit,2025-09-06,21449.97
48,1877,3,39,Deposit,2025-03-02,41123.39
49,1892,1,759,Payment,2024-02-29,5353.51
50,1416,12,812,Withdrawal,2024-12-08,16432.25
51,1823,20,865,Transfer,2025-01-23,18048.51
52,624,1,607,Deposit,2026-01-06,11895.53
53,1755,5,285,Withdrawal,2025-06-03,6494.85
54,430,5,804,Deposit,2024-05-24,21815.45
55,1563,4,420,Deposit,2024-05-15,1921.51
56,992,14,358,Deposit,2025-11-30,10621.2
57,68,17,404,Deposit,2024-05-17,23985.03
58,1861,9,590,Deposit,2025-06-24,4246.12
59,1368,1,420,Deposit,2025-11-17,39336.17
60,1885,20,284,Withdrawal,2025-10-25,11958.26
